"","f1sim","f2sim","f3sim","f4sim","f5sim","f6sim","f7sim","f8sim","f9sim","cp10sim","f11sim","cp12sim","cp13sim","f14sim","f15sim","ar1sim","ar2sim","ar3sim","ar4sim","ar5sim","ar6sim","ph1sim","ph2sim","ph3sim","ph4sim","ph5sim","ph6sim","ph7sim","ph8sim","cp1sim","cp2sim","cp3sim","f4sim.1","cp5sim","f6sim.1","cp7sim","f8sim.1","f9sim.1","f10sim","cp1sim.1","cp2sim.1","cp3sim.1","cp4sim","cp5sim.1","cp6sim","cp7sim.1","cp8sim","p1sim","p2sim","p3sim","p4sim","p5sim","p6sim","p7sim","p8sim","ind9sim","ind10sim","cut01sim","cut12sim","cut03sim","cut14sim","cut05sim","cut16sim","al1sim","short2sim","f3sim.1","cp4sim.1","ar5sim.1","ter6sim","p7sim.1","f8sim.2","unk9sim","al10sim","al11sim","al12sim","cp13sim.1","cp14sim","al15sim","ar16sim","cp17sim","ar18sim","cp19sim","cp20sim","o21sim","al22sim","unk23sim","unk24sim","unk25sim","al26sim","o27sim","bf28sim","unk29sim","g1sim","g2sim","g3sim","g4sim","g5sim","g6sim","sy7sim","g8sim","sy9sim","sy10sim","ph11sim","sy12sim","sy13sim","g14sim","g15sim","g16sim","sy17sim","g18sim","g19sim","sy20sim","sy21sim","ph22sim","sy23sim","g24sim","sy25sim","sy26sim","g27sim","g28sim","sy29sim","sy30sim","cp1sim.2","short2sim.1","short3sim","short4sim","short5sim","short6sim","short7sim","short8sim","short9sim","short10sim","short11sim","fa1sim","fa2sim","fa3sim"
"OS-3-B","20796981","19689538","4127343","6383795","13441259","2632914","30730077","13093122","185017458","9565018","27068809","1466122","8461153","6100502","35431625","36609243","3839431","2553447","10043834","4265992","3241374","153877438","152404803","10365481","28513634","2182642","73863296","4283234","14285287","1602703","113276144","102940014","133864352","3290320","1049052","9907104","11827098","12821293","77256798","30171381","6586371","9398788","6561934","13571399","67022378","1709030","27676097","6664285","8316823","1897334","1239267","13445944","5918519","7550642","24101361","6782134","5235679","2411269","5381453","30130181","6513252","641551","3036338","2976438","2745730","1928214","539670","3137395","6695646","1393227","5437847","633228","2380097","1624433","2435800","7086312","2225242","770946","2672306","505530","2065803","8934076","22310338","1808245","3720412","2905642","2471381","11897497","1101129","7963690","243803403","2620850","84493357","72571241","21660896","10933633","162868646","7405711","47446605","53155467","39679134","12884196","2926791","10936639","82782355","18118566","13324510","834212","7888101","18479782","21098545","59428119","13251943","14252395","811577","14387465","13253306","28341029","17178641","5907914","1996584","9566412","56084185","38471565","16330041","178611822","17039272","50007178","2038256","26252254","2644244","794021","3458194","161661","2054539","243403"
"OS-3-C","19077939","17975649","3977036","5671478","11917297","2405866","27846155","12366681","169427705","8628526","24519440","1427950","7987032","5649832","33969842","32185371","3393350","2170946","8994800","3822732","2846049","137246189","138903997","9375691","25677697","2053329","76705939","3749447","13423598","1517471","105609282","95531553","129520433","3265684","1034053","9568137","11266240","12525642","70858577","27546066","5892373","8356693","5694647","12256849","64028359","1602993","25736298","5954019","7616408","1631937","1079867","12441727","5382901","6870325","18291642","6280257","4783799","1993020","4686297","24016382","6116110","435396","2494280","4041556","3144407","1756962","488088","2751381","6018958","1214784","4913178","553211","3626799","1964771","3802859","6019983","2030026","680104","2338697","421630","1869127","8584202","21920581","1690809","3339749","2678496","2062246","10894332","1033805","7894151","239101534","2403282","77913581","68307522","19891052","10175759","160589921","7076462","43844635","51220389","37590621","11759926","2763524","10138117","76830215","16439399","13825965","698649","7007300","16520636","19208572","53130532","12368090","12907216","655920","13373202","11926533","25331124","16318384","5076410","2005711","8611167","49646324","33624169","14908362","159814565","15530685","45338267","1914065","24371425","2357132","722555","3300549","160989","1774637","196947"
"OS-3-D","9420060","8700838","1928082","2357594","6126225","1101752","15330385","6537673","84337623","4155762","11711225","663801","3799753","2806763","16024054","16301945","1677229","1167743","4814981","1960724","1534235","75636800","72196790","4956061","11522026","951105","43349003","1783895","6367523","731143","50958731","49612875","70434354","1338913","486812","4394044","5382691","6266734","34110471","13657880","2602948","3919247","2530490","6430863","30689642","919618","11580056","2474275","3988564","798399","529565","5780309","2711006","3716428","8186918","3425990","2530468","1058321","2362108","13383390","3366025","212093","1102270","2391784","1672292","810827","208049","1421906","3549531","546911","2694832","287522","2112160","1107785","2144264","2746658","1024136","332240","1240992","158735","977417","3513400","8927682","906409","1634599","1340161","974784","4921506","525490","3641184","127457373","1143739","36672090","30941833","8246847","4830411","77502279","3274474","20601974","22838840","16496793","4713769","1370822","4691684","35855343","7954460","8417307","323916","3130123","7784440","8649951","24189384","5587384","6553681","302846","6109447","5700629","11504058","8260975","3568466","980330","4828470","26431361","16667558","8425774","81428511","7959155","22701316","640888","12430081","1137339","298848","1506451","88337","1014404","147648"
"OS-3-E","24643916","23743315","4676201","7273018","15014430","3123657","35014873","15522247","208387146","11618588","32891853","1844196","9541095","7590273","36099299","40101772","4162151","2699458","12030830","4775682","3706290","187666009","180862316","11050676","38713905","2588124","85511058","5077428","18522066","2065279","143195635","113014927","130719459","4200269","1188635","11063842","13535431","13521494","81811837","36886516","7930441","11016723","7880399","15417401","79278959","1771610","33490104","7981472","10023074","2292789","1474538","15829337","6730643","8661897","21146214","8006175","5953992","3118842","7922814","41519161","8131330","894102","3436595","1010080","2483429","2279668","674624","3373072","6521791","1654386","5914730","840277","260661","1267067","418681","8954991","2592863","803522","2731960","638324","2595500","10681778","25324516","2102712","4512932","3192986","2725958","13190395","2233808","9002273","311723535","2690824","95627396","79730829","26457136","12200482","184187366","8373424","54821167","59394801","45355870","16498663","3634743","12752328","94302007","19588473","13343754","946576","8994986","19843544","23631495","68109787","15277348","16493762","896313","16035156","15144601","33536284","18617068","6179992","2518709","10754569","69860304","49723329","18724710","216934637","21371340","60763909","2623287","30061202","3344075","1006412","3356083","194123","2616819","366473"
"OS-4-A","28294910","27003571","5973760","8437412","18211954","3642673","40615534","16520312","247944234","13098955","36941022","1901962","10845534","7941740","49881964","47628671","4832651","3037629","12179458","5715455","3990901","229371415","219882923","14156956","41745636","3247179","88982833","6186633","22159271","2028267","144033117","129761027","185721164","4509195","1416356","13216336","17049842","15742772","64244983","37945617","8606930","12223138","8694313","17882171","87005513","2126921","36040962","9258696","11476385","2702336","1829345","20040017","7908753","9778499","35687932","9610290","7401270","3351961","8296584","29669481","9448392","649657","3882312","4624024","3865674","2629304","705944","3790823","6623879","2027039","7200936","889921","3878561","2342099","3951120","8621243","2848015","1105697","3267095","677143","2880513","12111350","33025950","2442264","4071774","3831200","2895209","16573513","1322826","12588506","359618694","3743396","111616379","100414002","28534191","14589543","224189608","10277784","66947625","73508290","56221592","18060175","4442318","14480810","108605005","26418001","13623876","1171094","10103118","26508825","28643354","76899584","17989825","23726473","1043962","17740211","17699839","33925020","20239205","5296447","1829735","9239443","75929712","51316924","21091084","229611267","21291000","63609085","2729458","33098459","3423988","895877","5294251","251240","2609423","312500"
"OS-4-B","12221793","11079073","2429125","3195365","8189869","1537319","21789219","8184801","111189027","5729957","15532348","797278","4893163","3471258","25611702","20628765","1967469","1271667","5419471","2540933","1936058","106424153","95667064","6085440","14383291","1311005","54162515","2817167","10656323","915408","62001920","67615692","100292276","1815756","718636","6158902","8223946","8985638","28490049","16699952","3321773","5227119","3430258","8952786","42232542","1267687","14949731","3401241","5228355","1168092","785562","8783484","3729858","5262679","14703535","5124625","3890097","1610344","4183168","17523123","5070003","356227","2560005","2513765","1891329","1082791","280870","1514367","3103801","814200","3899358","367771","2236955","1309478","2302612","2847758","1341670","533968","1327657","236650","1422534","5440035","14553438","1232704","2022879","1836214","1370137","8226201","603799","6353340","189665174","1831096","48568175","41303833","10035943","6399769","102800165","4341636","30989465","32592899","24887547","6439920","1924916","6682872","52263979","12702013","9440855","548829","4421180","12846154","12707477","34993217","9448050","11561424","518813","8570701","9023204","16868748","11422186","4490895","878910","5452274","34147476","20742072","10117660","106425093","9358552","28227492","997514","15816673","1367999","313311","2658108","112669","1337918","169380"
"OS-4-C","20700808","19375916","4680888","6110198","13786532","2660691","31714875","12736052","179611434","9500885","26521454","1401832","8125178","5533326","37647701","36676738","3603268","2304365","9189025","4261429","3011881","170160567","163272174","10934600","27861535","2448368","69754269","4565935","16176068","1460027","105007410","99762746","139619647","2979435","1084353","9353458","12366509","12913150","53412220","28247199","6205823","9144701","6244403","13525574","66823592","1820338","26466906","6549199","8690833","1986403","1385882","15230295","6230104","8101518","27239299","7709501","5870168","2391987","6257011","23774313","7307694","403716","3207913","5550435","3764375","1897975","493721","2931555","4809365","1476551","5581497","666653","5246058","2482586","5286487","5608508","2240317","913251","2541137","460902","2267371","9346453","24244277","1936292","2849289","2889719","2076910","12381118","807535","9732739","280008798","2930598","83450208","71888406","19781672","10725441","167677903","7415367","48428608","53609729","40179606","11790679","3297986","10537549","82271066","19112542","11089414","812894","7126222","19552897","20369148","56861470","13857184","17419927","760069","14055612","13880936","25868511","15898596","4202911","1366315","7430936","53543930","35950684","16068188","167731208","15873158","46224321","1817091","24414374","2463077","497413","3922664","166861","1911865","230569"
"OS-4-D","16559651","15142987","3506342","4535890","10552993","2079496","25726975","10508212","139865657","7620868","20658079","1124838","6055210","4482447","28773380","29989678","3044349","2052690","7268329","3561636","2467973","135009807","129440154","9624692","22496722","1870002","53363540","3317340","12199833","1190379","83208672","77929175","115304798","2485823","847060","7142897","9040762","10029042","48412707","22795991","5132814","7290441","5016408","10932399","51565413","1458668","20189877","4998541","6521569","1561319","1035345","11493104","5050579","6435526","21780855","5838125","4571407","1668773","4416499","14265009","5147093","355750","2352568","3244968","2527081","1446843","397210","2622589","3572627","1133308","4504219","514164","2815044","1588601","2859188","4598290","1782667","602189","2194535","360574","1745693","7057752","15604390","1446443","2183979","2055806","1482059","9445127","597168","7169774","206479445","2302741","67331941","58472629","16145764","9045094","131950605","6052505","36653055","44000683","30644193","8736957","2471063","8050904","60228141","15763484","10118130","678986","5468016","15666988","15980306","42527210","11663245","13437724","618469","11195787","10878019","19550470","13684599","4681799","1190370","7224316","44868607","29659917","13529917","132490377","13229029","37034682","1349480","20088102","1891093","447185","2923839","111362","1429923","193702"
"OS-4-E","14793956","13835267","2926124","4120730","9993153","1891300","23203831","9555068","130247486","7150511","20051160","996190","5568712","4295242","24852399","25699426","2430054","1621185","6944281","2791431","2279298","124960802","114506405","7177131","21243440","1551725","51354461","2998976","11354019","1111253","80088997","71569011","101039587","2312187","749973","6411383","8675741","8215645","36599833","20008886","4284763","6275614","4143056","10037240","46120118","1268323","17737892","4407337","6140502","1427550","956455","10230870","4495873","6094577","17741138","5840448","4230555","1715904","4182253","16368450","4805285","318633","2193517","1270235","1600930","1327441","335784","1855375","3839365","1006462","3891420","505592","864133","958185","865805","4299006","1541008","554251","1608929","338718","1501705","6538592","17633278","1403922","2404329","2074266","1652897","8232086","813000","6225986","213479954","1716041","54603046","46228762","13333104","7179286","109258379","4803616","33463977","35253493","26744131","8560743","2233045","7224029","54511513","12612472","8810048","568160","5013611","12630896","13266614","38976908","9498247","12546021","537315","8765074","8944754","17392943","10882082","3923604","942278","5510816","42748597","27043924","11915363","127204823","11907710","35001770","1285678","17725145","1835080","396038","2585624","134084","1549373","161775"
"SW-0-A","9870766","12079954","2047078","3647928","4217371","1420451","12777319","7894042","88408744","7215432","12290952","1246312","10060659","3502805","13806284","25925382","2585350","1368778","4207316","3553765","2095204","120138649","98272442","5679133","13835512","1321762","33360912","2838076","11643767","1090008","87972665","82021096","62194297","2068986","511218","12076065","6781383","4850379","18671866","18152250","3985148","5734043","4172374","9632594","56112292","1395399","16428031","3739605","6918153","1713672","1029214","13586139","5374781","5631578","29878751","7181574","4994716","2422749","3309550","22300573","6740737","546520","2245459","2291312","2215694","1154786","397710","1740681","556297","1207058","3210036","1099519","2166520","1515235","2230162","5468220","1454683","811438","1531094","266897","1318790","6673729","19655287","1950049","4486511","2154033","2116878","4991843","2473640","7616981","143554070","1195380","60139417","32808333","9704670","5557884","97730979","4050051","38221207","30901264","19280553","6294667","2059718","5803546","48914620","10032162","4158896","499575","3813237","9171911","13690337","31937152","6540438","9440653","519304","7465871","7031401","14534789","7560774","5671008","819921","4142180","39540732","24192050","11481738","140057970","10906143","34387207","1043821","13639331","1683305","501151","3634676","224699","2624603","250715"
"SW-0-B","10013058","12249145","2001151","3790651","4246854","1423952","12420086","7598504","89375888","7773806","12262613","1369055","10420864","3554723","14010945","27723809","2762987","1490758","4414798","3632128","2166581","129227174","105120684","6432816","14811336","1363748","32054548","2953399","12800171","1022076","94300471","82911147","60573421","2216650","517225","13407763","7135275","5181459","19528227","19052197","4251509","6077086","4611213","9732473","59496294","1541698","17888937","4025806","7025399","1777435","1069213","14376394","5804685","5855586","32365252","7571606","5456300","1789449","3111110","17133398","7111631","391198","2343413","793679","1532196","1180701","427641","1878731","517107","1306471","3199726","1124023","613612","1026893","698998","5917024","1548035","805846","1572426","301961","1353734","6793504","17180911","1979361","4480251","2095320","2211258","5238948","2335614","8108857","145575067","1237701","66385482","34939949","10781109","6125588","102255050","4332768","41014829","33406420","20241211","6924073","2144263","5963820","50717106","10303789","4084759","537410","4003782","9703352","14605067","32861861","6825636","9316418","559109","8263302","7446202","15485866","8221434","6479605","926296","4369539","40425139","25718348","11538203","141675684","11516676","35939710","1126834","13704244","1823259","486154","3655836","207966","2533665","266589"
"SW-0-C","8538474","10566686","1763522","3310496","3587705","1231702","11341563","6766535","77140978","6285401","10425705","1049976","8419305","2854117","13036991","24590641","2498314","1320489","3928436","3434037","1892788","113086028","95899131","5581428","12237074","1172413","35554355","2564881","10270481","902530","74812408","73726833","58128962","1744860","440583","10579169","6316960","4401242","17651015","15973149","3457561","5101633","3741941","7898431","48451104","1313446","14000569","3255979","5823174","1485069","922210","11357107","4918697","5241601","23180076","6538511","4674185","1174111","2944887","8079128","6365977","240683","2507534","1474464","1637925","1042156","369099","1679893","645091","1060603","2865225","946843","1358238","1197716","1429188","4170385","1289802","737470","1465997","220982","1252068","5773956","17387955","1591064","3689876","1850776","1815866","4512091","2010541","6611742","129222535","1131646","56201458","31481460","8633827","5131521","90981603","3622922","34572510","28321952","17937262","5487453","1922869","5036163","43757415","9035601","4501965","443223","3315143","8264305","12117049","28225288","5908766","8549415","468473","6879181","6426269","13494193","7367532","5636404","813040","3958170","33357459","20587722","10281076","116041448","9642693","28958864","874514","11886050","1454732","410612","3096936","191750","2139722","212970"
"SW-0-D","9764993","12146299","2128614","3728240","3728240","1383690","12419775","7521429","86222610","6972064","11927924","1201494","9725372","3262582","14059483","27003123","2725172","1444923","4188737","3854489","2055422","120248803","102950741","5963008","13930930","1336226","33101034","2833969","10936107","1002991","81387122","77711313","63653263","1960359","470153","11817524","6888271","4963841","19731339","17602855","3800678","5593286","4063500","8846723","53231566","1434195","16011741","3758630","6823325","1695561","1033639","13253146","5408076","5573155","28538771","7104811","5096218","2359038","3245332","21013149","6940471","614436","2636968","2820766","2399880","1151369","405552","1928133","498203","1237647","3137250","1070434","2603534","1627796","2744376","4897961","1442656","883831","1628539","253844","1285934","6606582","15293207","1791687","4172756","2121511","2091031","4850279","2493870","7224245","142771719","1216666","61408260","33826230","9690944","5619134","98809948","3999509","37584634","30771142","19497117","6175508","2071407","5615889","47863249","9969884","4174063","515990","3591159","9036524","13465519","30815279","6347126","9440318","497110","7551804","6865964","14150627","7263399","5749631","883134","4102466","37939478","23888863","11246221","135735474","10498181","32730908","1124534","12793316","1630306","434608","3231110","225059","2379054","373458"
"SW-2-A","11792306","14681200","2737210","4562842","6393898","1623361","15614122","9279113","104466963","8620129","15095531","1512733","9956703","4224282","15214867","36672157","3552254","1993212","5862803","4912487","3067161","176300672","142179710","8244433","20917715","1895652","48746623","4440208","16528241","1258576","104280465","92676499","64878885","2702963","637779","13940708","8962723","6049932","23938640","23049803","5565183","7942097","6155754","10364352","64449458","1610168","22415106","5705675","8933873","2260108","1485443","17758868","7161160","8181372","25220007","10238966","7272787","2830588","5002248","37429286","12342731","914360","4275666","1006364","1810832","1442859","534556","2520845","324813","1566408","3570793","1276978","752850","1413819","884872","6444378","1847218","1048504","2068232","373718","1860372","8117075","18814447","2030739","5356255","2517314","2610537","6515466","2810630","6903887","181636043","1667814","85437323","44744597","14638517","7342624","123129742","5410034","51341611","40126244","25969657","9528361","2859928","7597224","64324135","13220006","5618994","747545","5418310","12872985","18533894","43994665","9656048","15349668","633537","9536656","10702685","20856393","10721804","7899864","1337270","5572814","46672708","31624472","12903297","151303342","13095096","41719220","1622918","15797826","2053297","565252","2634448","208414","2388613","337732"
"SW-2-B","19398604","23548546","4446268","7639317","9777030","2682957","24134385","14180007","171065354","13901949","24920467","2567330","17359253","6723030","22816003","55387452","5749971","3176561","8829719","7428928","4513351","240182455","208037579","12832692","34924964","3067713","60429808","6676787","23535574","1971976","178303914","138563525","94614110","4518305","947965","22460959","13425237","9654787","37867550","38486812","9402382","12824337","9943630","15531843","102262723","2240615","36971001","10010885","13486446","3412453","2074526","26897998","9916258","10610843","41528460","13611133","10061886","5890004","7730258","67220798","16636448","1811308","5840564","2383590","3094656","2364156","963081","4137649","667785","2449223","5293715","1918553","1779653","2223941","2058096","12137920","2800271","1582412","3397693","691230","2788969","13021198","32551160","3022028","8607347","3853167","3910353","10173793","4112781","11167041","255290599","2531043","130793670","75758660","26339666","12125781","196956959","9063450","77957480","66787537","41004087","17035481","4301571","12363619","101810609","20437095","5874546","1085004","8925087","19980504","28830656","71314153","14441384","21271257","892500","15721034","15975977","31709239","15751634","10847458","2020929","8229710","74461318","51265596","19773891","240590826","21572051","68123882","2882615","25395803","3456739","897115","4222673","331429","4352794","483012"
"SW-2-C","4541353","5188464","912181","1342983","2063833","577999","6819198","3969100","42068383","3102356","5649998","540521","3591515","1702228","5338553","12847352","1229144","686577","2155649","1633179","1266075","66802875","49263402","2981963","6839374","580447","23593822","1375609","5662515","464245","40153511","38563869","26076891","922670","259072","5004562","3441674","1743817","8392679","8849459","1945460","2687164","1995477","4217065","25511868","617415","7655384","1629610","3236462","804311","508008","5441194","2551885","3106702","8062833","3970705","2633917","1541476","1751536","20228693","4444005","364794","1945200","187798","654780","474003","251171","787149","122669","518560","1516643","473705","147562","537694","205168","2289255","698041","315814","714526","105127","657698","2846895","8655410","896784","1968503","904490","858625","2270286","1432960","2544394","71420005","568510","28992576","14395725","4346906","2589337","43946155","1929636","17789206","14216331","8519914","2848514","997999","2703982","22086987","4832254","3388137","247558","1811846","4449676","5951023","14556086","3099103","5431465","178741","3016873","3476177","6932620","3886731","3932965","507542","2440111","19582680","11995635","5399338","60558534","5893232","16208317","506185","6441847","753045","247510","922970","103279","1343042","203155"
"SW-2-D","9029220","10780739","2070630","3101874","4343562","1206783","13073601","7412442","83582091","6405055","11150130","1166155","8349291","3159322","12595251","27172546","2741971","1534649","4175902","3812019","2364594","125382477","102312493","6298618","13591663","1394112","44788634","3101868","11522691","910465","81858267","79140176","61065952","1867452","514317","11784434","7029398","4663890","19171503","17648326","3832228","5659617","4273830","8505796","51346532","1358955","16300604","3846804","6561989","1615641","989200","12187338","5094989","5948051","17986118","7393432","5211130","2302116","3669841","25674869","8639049","624368","3104597","2147812","1983539","1071134","396823","1957608","226667","1144670","3328471","901293","1991014","1522449","2109722","4760313","1496089","806564","1718957","255059","1403525","5958557","20255863","1748011","4318451","2037518","2001969","5107759","2222290","5572147","139483377","1272008","61984759","34601535","9812736","5853395","100160650","4255084","36978693","31945553","19270418","6003375","2198489","5858831","50557002","10693790","5874664","530617","3979470","10419106","14333534","33374837","7374770","11251750","465374","7264665","7728096","14954225","8892387","7038694","1001545","4346993","35899246","22397721","10665036","119191530","10257984","32072970","1083556","13451519","1571283","425725","2679918","181494","2013794","269701"
"SW-2-E","11739219","14328309","2513174","4479959","5851652","1624809","15738862","9025026","104295163","8366970","14667030","1495466","10380294","4086494","15018307","36261965","3594932","1949635","5511535","4817902","2808772","165126025","134480068","8017749","19871340","1767476","41295164","3892666","15665950","1287426","106595621","93668864","70451945","2664092","638045","14364311","8791844","6052074","26425678","22740091","5304777","7589885","5955463","10338265","64567325","1600248","22143452","5593329","8619658","2125850","1382064","17162732","6893232","7661566","28145493","9866138","7026882","2880767","4807059","35416843","12484627","1035348","4003278","1693194","2130386","1456254","575067","2466449","299750","1519194","3747744","1211278","1412723","1560338","1576030","6171444","1859784","974195","2103322","361687","1804179","8231420","19242440","2185902","5122515","2490938","2444161","6530926","2714719","7145823","180642935","1642611","81649222","44469120","13901173","7106832","123165072","5176633","49689868","38522760","24828466","8791375","2760061","7335075","62962421","12359064","4853112","637158","5077700","12201423","18101648","42026450","9041560","13147810","599091","9319619","9803399","19718875","10160170","8543390","1293912","5399911","46662729","31144728","12782873","153911279","13303594","41796644","1590838","15900758","2008848","529447","2810944","201062","2584692","307060"
"SW-3-A","15076635","16904283","4140997","5432666","7666527","2061378","20065156","11859339","138181858","10770516","17624600","2100779","13484826","5573263","17776713","41425370","4394188","2278923","6380134","6116299","3605578","184588893","148835721","9878407","25521413","2293631","53182347","5353455","18889626","1570399","150458834","121537476","88236967","3776637","775264","19634099","10653137","8155365","34492937","30365831","7021779","9918864","7575123","12900068","85711022","2049961","31381310","8115697","11089456","2585792","1709315","20463832","7728978","8614688","28669018","10937665","7912555","4293125","5744533","45607571","14038356","1250148","5252307","6955685","4675477","1634405","723263","3076106","1101307","1881549","4706939","1179675","6398554","3187588","6863855","10512397","2284549","1077582","2556071","504502","2402236","9656944","21632232","2512388","6573326","3050995","3056030","9918886","2566664","9022901","211238414","2255111","121508023","67958960","22364074","11885292","181438926","8643415","67241015","64581242","35415528","13488182","3368039","10736333","88064279","20930443","7172779","1135584","7691320","20352829","27897369","61067329","14345225","17377107","859712","14786478","15371533","27816236","17958230","13910641","2013437","8726805","59729942","39368534","16919302","193386017","16186060","54926071","2039990","22024960","2867812","622183","4250626","172188","2686195","383671"
"SW-3-B","9900901","11573716","2485052","3297637","5602925","1339598","14663854","8272190","88485512","7203019","11874477","1296221","8065904","3761754","12090835","31372025","3186497","1705630","5116685","4277989","2634428","143508861","114113077","7341766","17521135","1646932","43757667","3787652","13916935","920327","89711702","78551348","55795095","2235545","525987","11724404","7603335","5160144","23247655","20687534","4641199","6609192","5175942","8619337","55818997","1317000","18994488","5121317","8023628","1899832","1249770","14426619","6178095","7331351","17757244","8678543","6255332","3389171","4577798","37903191","10775639","845676","4487995","2693609","2378918","1170047","460034","2231659","581416","1348277","3198285","969563","2431795","1737198","2701145","5527535","1648302","910699","1918476","332828","1757491","6550149","14762287","1772221","4750539","2057418","2085810","5994260","2131935","5280712","155322618","1523068","71849833","38845517","12503861","6891883","114610300","5197699","42728867","38181949","21878737","7662481","2480421","6923559","59357946","12565542","5694052","645803","4945893","12628262","16672992","39430789","9055078","13223946","526354","8681255","10900678","18565838","11160248","8560673","1276989","5896826","42367644","27414261","11854774","121974360","11626757","35550821","1201792","14489156","1805279","525314","2185897","140141","2083483","312103"
"SW-3-C","20394372","24025141","4582617","7463622","11226188","2722164","24762066","14477721","171880906","14327672","24896823","2709925","16658771","7344627","21104278","55791162","5462727","2910233","8851238","7186650","4782852","252727617","206125425","12076301","36440218","3113805","55894743","6998488","24764524","2031610","188990416","138762574","90229181","5131388","984313","23629808","14474343","8886085","40270499","39642041","9666695","12994872","10728119","16073300","96753178","2161323","40479722","11464992","14620708","3655600","2385465","29216914","10463280","11538148","33789047","15431010","10874254","6806162","8550405","72250085","19358716","1812823","6677731","1091658","2766458","2298619","922576","3719182","1045597","2556810","5320631","1827742","412941","1792779","714898","14477357","2913714","1575385","3014991","759914","2950152","12500231","28377696","3247439","9715621","4221143","4255889","11983170","4401515","9789726","273478907","2582907","138781064","78467997","29506049","13526737","209047041","10228801","87624405","75019055","45189310","20507148","4590880","14149072","111216402","23152996","3183408","1342239","10214851","22672850","32781957","80395649","15716024","23097618","1024156","16394456","18552224","34126008","17127975","12142675","2303683","8935277","80047078","56198621","19092162","251791757","21424411","72557380","2997629","24816482","4004388","1016877","3495120","356316","3918077","561427"
"SW-3-D","20527287","24530937","4848402","7900276","11858498","2833751","24660783","14804547","168793593","14485860","25110977","2681108","16559146","7371004","21809043","63369838","6464524","3414006","9955990","8659000","4975814","279381018","232339766","13652406","40134870","3431843","49438202","7906077","26618709","2029114","184471358","141115067","93512258","4710341","967864","22816238","14360665","9683748","46927370","40563754","10006828","13773399","11264915","16205944","103561184","2146849","39901652","12259407","15798685","3935498","2549924","31211765","11390503","12327655","42104572","16537125","11562753","6615322","8677218","79976617","21269564","2158615","7913915","2115541","3245335","2493143","1022943","4531645","937452","2916305","5615789","2016405","1596928","2331735","1904948","12286275","3011684","1785693","3549031","744948","3323214","13711333","35174078","3164676","9159783","4312362","4212000","11453429","4049298","10904254","281281520","2911036","150683033","85075069","29843461","13275729","215477537","10074507","88187272","73861638","46668192","19774678","4783007","13728198","114358991","22898476","2463941","1273991","10166820","24081148","33259700","81173424","17554653","25101705","1113424","17565675","20925682","37079837","17599767","13012010","2657812","9143119","81365884","58019183","20185730","249059340","22007123","70456798","2997279","24610879","3920085","1048813","3886826","469786","5168324","700882"
"SW-3-E","14321260","16790739","3362512","5159771","7918439","1966171","18536800","10914468","121125281","10261927","17451778","1790423","11735863","5104381","16157083","43287500","4344795","2252119","6938470","5786253","3594708","196293229","160472907","9493111","25352352","2298865","52778695","5466471","18882109","1551806","128905192","104572343","73526557","3266943","699767","16589541","10527892","6699743","29500527","27893139","6583388","9281807","7279634","12265865","71904775","1815626","26253295","7614141","10824615","2688492","1771171","21311155","8418675","9445834","26803077","12139663","8762120","4449401","6696717","43072249","14521919","1197650","4550238","1693940","2287359","1668858","654987","2986896","648533","1884724","4118797","1413577","1301277","1749743","1582615","8447165","2178462","1220833","2424416","486717","2221868","9320357","22853960","2366994","7036394","3129033","3054230","8443463","3198367","7441394","210786064","1954202","98893297","55539296","18123202","8945220","151729547","6799176","57769740","52675971","31242688","12009820","3431567","9692130","80623763","16490225","4309158","936048","6913788","16981064","23202827","55672966","11207608","17992886","745689","11790804","13404792","24282927","13017986","9719452","1649254","6549393","56819805","38517210","14714199","179346935","15283729","49709915","1817087","18790496","2600372","782492","3168035","227922","2916202","376197"
"SW-4-A","8189935","9250932","2074872","2612514","4871477","1110753","13044229","6781804","71877881","5935328","9802910","963813","5841033","3012164","9742092","27662943","2726967","1530441","4846672","3584460","2089592","124723016","101011911","6181870","15123378","1302415","32676640","2991476","9887083","812859","70172873","63192932","48143655","1750481","440776","8483526","5935051","3780603","15901135","16512002","3798993","5398303","4069014","7501276","44070935","1140351","14657162","3876863","6441880","1656288","1110752","11844145","5304115","6429058","15073740","8332887","5929109","1833936","3238850","22103790","7872679","558215","3015064","1641695","1663146","917318","330174","1793414","1178944","1145204","2706376","774568","1486371","1272573","1468331","4133206","1373934","728994","1528380","244570","1446207","5351439","16079878","1542996","4079127","1780723","1855852","5186900","1682669","4994198","140617926","1288935","54322453","30040772","9232920","5326440","87960885","3936051","32542088","28703904","16854377","5691838","2012525","5281119","45488108","9630703","4266724","463494","3735883","9927047","11867021","29715814","7014962","9932342","386502","6040128","8417196","13183096","7744862","6639918","783857","4554148","36888322","22234784","9834669","98585199","9464467","27902156","906261","11759216","1415114","360635","1850028","137912","1700827","236023"
